AgressiveMob.new("Zombie", 4, 1)
AgressiveMob.new("Zombie", 5, 2)
AgressiveMob.new("Zombie", 3, 3)
AgressiveMob.new("Zombie", 2, 4)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 8, 3)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 6, 3)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 5, 3)
AgressiveMob.new("Zombie", 6, 3)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 9, 2)
AgressiveMob.new("Zombie", 4, 3)
AgressiveMob.new("Zombie", 7, 3)
AgressiveMob.new("Zombie", 2, 4)
